,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,OWNERSHP,OWNERSHPD,MORTGAGE,MORTGAG2,MORTAMT1,MORTAMT2,RENT,RENTGRS,HHINCOME,PERNUM,PERWT,SEX,AGE,IND,INCTOT,INCWAGE
6925,2017,201701,402714,2.017E+12,81,2.017E+12,15,3,30415,1,1,13,3,1,1300,0,0,0,140700,3,122,1,28,8660,42000,42000
6926,2017,201701,402714,2.017E+12,81,2.017E+12,15,3,30415,1,1,13,3,1,1300,0,0,0,140700,4,124,2,62,8680,6700,6700
6927,2017,201701,402714,2.017E+12,81,2.017E+12,15,3,30415,1,1,13,3,1,1300,0,0,0,140700,5,140,2,36,6970,3700,3700
6928,2017,201701,402714,2.017E+12,81,2.017E+12,15,3,30415,1,1,13,3,1,1300,0,0,0,140700,6,104,1,0,0,9999999,999999
6929,2017,201701,402714,2.017E+12,81,2.017E+12,15,3,30415,1,1,13,3,1,1300,0,0,0,140700,7,121,1,53,8680,1000,1000
6930,2017,201701,402715,2.017E+12,150,2.017E+12,15,3,30215,1,2,22,0,0,0,0,1800,1950,153000,1,149,1,28,9770,153000,103000
6931,2017,201701,402716,2.017E+12,11,2.017E+12,15,3,30115,1,2,22,0,0,0,0,1600,1700,21700,1,11,1,82,0,5000,0
6932,2017,201701,402716,2.017E+12,11,2.017E+12,15,3,30115,1,2,22,0,0,0,0,1600,1700,21700,2,15,2,77,0,16700,0
6933,2017,201701,402717,2.017E+12,32,2.017E+12,15,0,10015,1,1,12,1,0,0,0,0,0,4200,1,32,1,70,0,0,0
6934,2017,201701,402717,2.017E+12,32,2.017E+12,15,0,10015,1,1,12,1,0,0,0,0,0,4200,2,67,1,33,0,4200,0
6935,2017,201701,402718,2.017E+12,29,2.017E+12,15,1,20015,1,1,13,3,1,500,0,0,0,61000,1,29,1,64,0,9000,0
6936,2017,201701,402718,2.017E+12,29,2.017E+12,15,1,20015,1,1,13,3,1,500,0,0,0,61000,2,71,1,33,8090,30000,30000
6937,2017,201701,402718,2.017E+12,29,2.017E+12,15,1,20015,1,1,13,3,1,500,0,0,0,61000,3,71,1,30,8780,22000,0
6938,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,1,69,1,73,0,37700,0
6939,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,2,68,2,65,0,0,0
6940,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,3,127,2,38,8680,12000,12000
6941,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,4,93,2,17,0,0,0
6942,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,5,124,2,48,5580,40000,40000
6943,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,6,114,1,41,7790,20000,20000
6944,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,7,109,2,7,0,9999999,999999
6945,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,8,89,1,7,0,9999999,999999
6946,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,9,81,2,3,0,9999999,999999
6947,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,10,113,1,52,770,30000,30000
6948,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,11,125,2,47,5580,45000,45000
6949,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,12,89,1,9,0,9999999,999999
6950,2017,201701,402719,2.017E+12,69,2.017E+12,15,1,20015,1,1,13,3,1,2200,0,0,0,184700,13,109,2,8,0,9999999,999999
6951,2017,201701,402720,2.017E+12,170,2.017E+12,15,3,30715,1,1,13,3,1,1200,0,0,0,40250,1,170,1,70,0,40250,0
6952,2017,201701,402721,2.017E+12,143,2.017E+12,15,3,30115,1,2,22,0,0,0,0,1100,1220,58300,1,142,1,66,9590,43700,1700
6953,2017,201701,402721,2.017E+12,143,2.017E+12,15,3,30115,1,2,22,0,0,0,0,1100,1220,58300,2,113,2,57,5390,14600,14600
6954,2017,201701,402722,2.017E+12,310,2.017E+12,15,1,20015,1,1,13,3,1,1000,0,0,0,112000,1,310,1,44,7690,42000,42000
6955,2017,201701,402722,2.017E+12,310,2.017E+12,15,1,20015,1,1,13,3,1,1000,0,0,0,112000,2,406,2,40,8660,70000,69000
6956,2017,201701,402722,2.017E+12,310,2.017E+12,15,1,20015,1,1,13,3,1,1000,0,0,0,112000,3,593,1,16,0,0,0
6957,2017,201701,402723,2.017E+12,105,2.017E+12,15,3,30815,1,1,13,3,4,2500,2800,0,0,129100,1,104,1,69,9570,71100,25000
6958,2017,201701,402723,2.017E+12,105,2.017E+12,15,3,30815,1,1,13,3,4,2500,2800,0,0,129100,2,110,2,61,7670,58000,58000
